               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,              0.0327,            0.016028,            0.022618,             0.54027,             0.62372,             0.64333,             0.34854,             0.02633,           0.0077408,            0.017029,           0.0050104,           0.0050104,           0.0050104
                 128,            0.031855,            0.016301,            0.020378,             0.67984,             0.58398,              0.6428,              0.3615,              0.0267,           0.0072859,            0.016094,           0.0049708,           0.0049708,           0.0049708
                 129,            0.031651,            0.015005,            0.020561,              0.7151,              0.5795,             0.65283,             0.38557,            0.026584,           0.0078669,            0.017735,           0.0049312,           0.0049312,           0.0049312
                 130,            0.031218,            0.016164,            0.019002,             0.74993,              0.7101,             0.75677,             0.47895,            0.022645,           0.0072162,            0.014662,           0.0048916,           0.0048916,           0.0048916
                 131,            0.030999,            0.015253,            0.019773,             0.83925,             0.60689,             0.72574,             0.42525,            0.024582,           0.0072955,            0.015408,            0.004852,            0.004852,            0.004852
                 132,             0.03153,            0.015038,            0.020919,             0.76103,             0.68104,             0.70796,             0.41664,            0.024069,           0.0073738,            0.013427,           0.0048124,           0.0048124,           0.0048124
                 133,            0.031683,            0.015656,            0.020405,             0.57104,              0.5943,             0.61995,              0.3747,            0.025924,           0.0082785,            0.016017,           0.0047728,           0.0047728,           0.0047728
                 134,            0.031832,            0.015642,            0.021876,             0.67083,             0.63055,             0.66831,             0.40429,            0.024985,           0.0076263,            0.016894,           0.0047332,           0.0047332,           0.0047332
                 135,             0.03015,            0.015611,            0.020869,             0.69805,             0.66316,             0.70437,             0.43719,            0.024903,           0.0075081,            0.013957,           0.0046936,           0.0046936,           0.0046936
                 136,            0.031983,            0.015229,            0.019018,             0.66934,             0.67943,             0.66606,             0.40568,            0.024762,            0.007246,            0.016405,            0.004654,            0.004654,            0.004654
                 137,            0.029637,            0.015507,            0.018951,             0.81521,             0.66091,             0.73116,             0.43941,            0.024805,            0.006743,            0.013752,           0.0046144,           0.0046144,           0.0046144
                 138,            0.030798,             0.01512,            0.019417,             0.66985,             0.56989,             0.65283,             0.37906,            0.024733,           0.0069867,            0.016685,           0.0045748,           0.0045748,           0.0045748
                 139,            0.032034,            0.015289,            0.020959,             0.68676,             0.66871,              0.6979,             0.40482,            0.023825,           0.0075528,            0.013325,           0.0045352,           0.0045352,           0.0045352
                 140,            0.030567,            0.015704,            0.019046,             0.59803,             0.53336,             0.58322,             0.33599,            0.026995,           0.0075831,            0.015629,           0.0044956,           0.0044956,           0.0044956
                 141,             0.03059,            0.015348,            0.019924,             0.69518,             0.69238,               0.691,             0.41962,            0.025076,           0.0072852,             0.01583,            0.004456,            0.004456,            0.004456
                 142,            0.030609,            0.015885,            0.019192,             0.71887,             0.71259,             0.75586,              0.5075,            0.023292,           0.0072575,             0.01155,           0.0044164,           0.0044164,           0.0044164
                 143,            0.030587,            0.015067,            0.019084,             0.59656,             0.59248,             0.61843,             0.36356,            0.027346,           0.0074851,            0.018223,           0.0043768,           0.0043768,           0.0043768
                 144,            0.032026,            0.015013,            0.019948,             0.72229,             0.67846,             0.74052,              0.4637,            0.025558,           0.0067557,             0.01517,           0.0043372,           0.0043372,           0.0043372
                 145,            0.030393,            0.015246,            0.018252,             0.76755,             0.73659,             0.74974,             0.45434,            0.024274,           0.0068547,             0.01469,           0.0042976,           0.0042976,           0.0042976
                 146,            0.030368,            0.015161,            0.017328,             0.77927,             0.55122,              0.6852,             0.38735,            0.025412,           0.0073188,             0.01804,            0.004258,            0.004258,            0.004258
                 147,            0.030318,            0.014486,             0.01933,             0.69453,             0.61134,             0.68641,             0.41764,             0.02439,           0.0076494,            0.013024,           0.0042184,           0.0042184,           0.0042184
                 148,            0.030895,            0.015378,            0.017328,             0.63666,             0.68804,             0.66853,             0.39228,            0.026202,           0.0073606,             0.01577,           0.0041788,           0.0041788,           0.0041788
                 149,            0.030198,            0.014505,            0.017944,             0.85136,             0.75227,             0.78076,             0.53736,            0.022058,           0.0066203,            0.012476,           0.0041392,           0.0041392,           0.0041392
                 150,            0.029957,            0.014843,            0.018032,             0.68776,             0.59868,             0.66132,             0.42373,             0.02216,           0.0075772,            0.013299,           0.0040996,           0.0040996,           0.0040996
                 151,            0.030235,            0.014485,            0.019564,             0.64014,             0.56542,             0.62139,             0.37482,            0.025028,           0.0074575,            0.016682,             0.00406,             0.00406,             0.00406
                 152,            0.029919,            0.014461,            0.020196,             0.57186,             0.50991,             0.61368,             0.36104,            0.024417,           0.0078695,            0.015335,           0.0040204,           0.0040204,           0.0040204
                 153,            0.029833,            0.014169,            0.018271,             0.78359,              0.6788,             0.74697,             0.44596,            0.023576,           0.0073391,            0.012148,           0.0039808,           0.0039808,           0.0039808
                 154,            0.030371,            0.014723,            0.018635,             0.74702,             0.64541,             0.72268,             0.40348,            0.024612,           0.0072044,            0.015288,           0.0039412,           0.0039412,           0.0039412
                 155,            0.030222,            0.014852,             0.01796,             0.67936,             0.74283,             0.74378,             0.45796,            0.023078,           0.0069602,            0.012025,           0.0039016,           0.0039016,           0.0039016
                 156,            0.030238,            0.015277,            0.018531,             0.60138,             0.61733,             0.61143,             0.33655,            0.027678,           0.0074438,            0.015257,            0.003862,            0.003862,            0.003862
